1st_f f_2024-12-02_raw
 
ForceDisplay	Rep	Set	timer	X	Y	Z	A	M
Low Viscosity	1	1	00:00:204	02.0000	07.9153	66.0000	075.820	008.164
Low Viscosity	1	1	00:00:212	02.0000	07.9153	66.0000	075.820	008.164
Low Viscosity	1	1	00:00:221	02.0000	08.1153	66.0000	076.155	008.358
Low Viscosity	1	1	00:00:229	02.0000	08.1153	66.0000	076.155	008.358
Low Viscosity	1	1	00:00:237	02.0000	08.3153	66.0000	076.476	008.552
Low Viscosity	1	1	00:00:244	02.0000	08.3153	66.0000	076.476	008.552
Low Viscosity	1	1	00:00:251	02.0000	08.3153	66.0000	076.476	008.552
Low Viscosity	1	1	00:00:258	02.0000	08.5153	66.0000	076.782	008.747
Low Viscosity	1	1	00:00:265	02.0000	08.5153	66.0000	076.782	008.747
Low Viscosity	1	1	00:00:271	02.0000	08.5153	66.0000	076.782	008.747
Low Viscosity	1	1	00:00:303	02.0000	08.7153	66.0000	077.075	008.942
Low Viscosity	1	1	00:00:310	02.0000	08.9153	66.0000	077.356	009.137
Low Viscosity	1	1	00:00:318	02.0000	09.1153	66.0000	077.625	009.332
Low Viscosity	1	1	00:00:325	02.0000	09.1153	66.0000	077.625	009.332
Low Viscosity	1	1	00:00:332	02.0000	09.1153	66.0000	077.625	009.332
Low Viscosity	1	1	00:00:339	02.0000	09.3153	66.0000	077.882	009.528
Low Viscosity	1	1	00:00:346	02.0000	09.3153	66.0000	077.882	009.528
Low Viscosity	1	1	00:00:356	02.0000	09.5153	66.0000	078.130	009.723
Low Viscosity	1	1	00:00:363	02.0000	09.5153	66.0000	078.130	009.723
Low Viscosity	1	1	00:00:371	02.0000	09.5153	66.0000	078.130	009.723
Low Viscosity	1	1	00:00:380	02.0000	09.7153	66.0000	078.368	009.919
Low Viscosity	1	1	00:00:388	02.0000	09.7153	66.0000	078.368	009.919
Low Viscosity	1	1	00:00:397	02.0000	09.9153	66.0000	078.596	010.115
Low Viscosity	1	1	00:00:405	02.0000	09.9153	66.0000	078.596	010.115
Low Viscosity	1	1	00:00:412	02.0000	09.9153	66.0000	078.596	010.115
Low Viscosity	1	1	00:00:422	02.0000	10.1153	66.0000	078.816	010.311
Low Viscosity	1	1	00:00:451	02.0000	10.1153	66.0000	078.816	010.311
Low Viscosity	1	1	00:00:459	02.0000	10.5153	66.0000	079.231	010.704
Low Viscosity	1	1	00:00:466	02.0000	10.5153	66.0000	079.231	010.704
Low Viscosity	1	1	00:00:474	02.0000	10.7153	66.0000	079.427	010.900
Low Viscosity	1	1	00:00:483	02.0000	10.7153	66.0000	079.427	010.900
Low Viscosity	1	1	00:00:492	02.0000	10.7153	66.0000	079.427	010.900
Low Viscosity	1	1	00:00:501	02.0000	10.9153	66.0000	079.617	011.097
Low Viscosity	1	1	00:00:509	02.0000	10.9153	66.0000	079.617	011.097
Low Viscosity	1	1	00:00:518	02.0000	11.1152	66.0000	079.800	011.294
Low Viscosity	1	1	00:00:525	02.0000	11.1152	66.0000	079.800	011.294
Low Viscosity	1	1	00:00:532	02.0000	11.1152	66.0000	079.800	011.294
Low Viscosity	1	1	00:00:539	02.0000	11.3152	66.0000	079.976	011.491
Low Viscosity	1	1	00:00:546	02.0000	11.3152	66.0000	079.976	011.491
Low Viscosity	1	1	00:00:556	02.0000	11.5152	66.0000	080.147	011.688
Low Viscosity	1	1	00:00:564	02.0000	11.5152	66.0000	080.147	011.688
Low Viscosity	1	1	00:00:573	02.0000	11.5152	66.0000	080.147	011.688
Low Viscosity	1	1	00:00:598	02.0000	11.7152	66.0000	080.312	011.885
Low Viscosity	1	1	00:00:606	02.0000	11.9152	66.0000	080.472	012.082
Low Viscosity	1	1	00:00:615	02.0000	12.1152	66.0000	080.626	012.279
Low Viscosity	1	1	00:00:622	02.0000	12.1152	66.0000	080.626	012.279
Low Viscosity	1	1	00:00:629	02.0000	12.1152	66.0000	080.626	012.279
Low Viscosity	1	1	00:00:637	02.0000	12.3152	66.0000	080.776	012.477
Low Viscosity	1	1	00:00:644	02.0000	12.3152	66.0000	080.776	012.477
Low Viscosity	1	1	00:00:651	02.0000	12.3152	66.0000	080.776	012.477
