1st_t t_2024-12-02_raw
 
ForceDisplay	Rep	Set	timer	X	Y	Z	A	M
Low Viscosity	1	1	00:00:820	02.0000	14.1152	66.0000	081.935	014.256
Low Viscosity	1	1	00:00:827	02.0000	14.1152	66.0000	081.935	014.256
Low Viscosity	1	1	00:00:835	02.0000	14.3152	66.0000	082.047	014.454
Low Viscosity	1	1	00:00:842	02.0000	14.3152	66.0000	082.047	014.454
Low Viscosity	1	1	00:00:850	02.0000	14.3152	66.0000	082.047	014.454
Low Viscosity	1	1	00:00:860	02.0000	14.5152	66.0000	082.155	014.652
Low Viscosity	1	1	00:00:869	02.0000	14.5152	66.0000	082.155	014.652
Low Viscosity	1	1	00:00:880	02.0000	14.7152	66.0000	082.260	014.851
Low Viscosity	1	1	00:00:888	02.0000	14.7152	66.0000	082.260	014.851
Low Viscosity	1	1	00:00:896	02.0000	14.9152	66.0000	082.363	015.049
Low Viscosity	1	1	00:00:903	02.0000	14.9152	66.0000	082.363	015.049
Low Viscosity	1	1	00:00:912	02.0000	14.9152	66.0000	082.363	015.049
Low Viscosity	1	1	00:00:921	02.0000	15.1152	66.0000	082.463	015.247
Low Viscosity	1	1	00:00:936	02.0000	15.1152	66.0000	082.463	015.247
Low Viscosity	1	1	00:00:945	02.0000	15.3152	66.0000	082.560	015.445
Low Viscosity	1	1	00:00:954	02.0000	15.3152	66.0000	082.560	015.445
Low Viscosity	1	1	00:00:962	02.0000	15.5152	66.0000	082.655	015.644
Low Viscosity	1	1	00:00:971	02.0000	15.5152	66.0000	082.655	015.644
Low Viscosity	1	1	00:00:981	02.0000	15.7152	66.0000	082.747	015.842
Low Viscosity	1	1	00:00:991	02.0000	15.7152	66.0000	082.747	015.842
Low Viscosity	1	1	00:01:001	02.0000	15.9152	66.0000	082.837	016.040
Low Viscosity	1	1	00:01:011	02.0000	15.9152	66.0000	082.837	016.040
Low Viscosity	1	1	00:01:019	02.0000	16.1152	66.0000	082.925	016.239
Low Viscosity	1	1	00:01:027	02.0000	16.1152	66.0000	082.925	016.239
Low Viscosity	1	1	00:01:036	02.0000	16.3152	66.0000	083.011	016.437
Low Viscosity	1	1	00:01:042	02.0000	16.3152	66.0000	083.011	016.437
Low Viscosity	1	1	00:01:049	02.0000	16.3152	66.0000	083.011	016.437
Low Viscosity	1	1	00:01:058	02.0000	16.5152	66.0000	083.095	016.636
Low Viscosity	1	1	00:01:066	02.0000	16.5152	66.0000	083.095	016.636
Low Viscosity	1	1	00:01:074	02.0000	16.5152	66.0000	083.095	016.636
Low Viscosity	1	1	00:01:083	02.0000	16.7152	66.0000	083.177	016.834
Low Viscosity	1	1	00:01:090	02.0000	16.7152	66.0000	083.177	016.834
Low Viscosity	1	1	00:01:098	02.0000	16.9152	66.0000	083.257	017.033
Low Viscosity	1	1	00:01:107	02.0000	16.9152	66.0000	083.257	017.033
Low Viscosity	1	1	00:01:118	02.0000	17.1152	66.0000	083.335	017.232
Low Viscosity	1	1	00:01:126	02.0000	17.1152	66.0000	083.335	017.232
Low Viscosity	1	1	00:01:133	02.0000	17.1152	66.0000	083.335	017.232
Low Viscosity	1	1	00:01:141	02.1072	17.3152	66.0000	083.061	017.443
Low Viscosity	1	1	00:01:147	02.1072	17.3152	66.0000	083.061	017.443
Low Viscosity	1	1	00:01:154	02.2017	17.5152	66.0000	082.835	017.653
Low Viscosity	1	1	00:01:162	02.2017	17.5152	66.0000	082.835	017.653
Low Viscosity	1	1	00:01:170	02.2017	17.5152	66.0000	082.835	017.653
Low Viscosity	1	1	00:01:177	02.2551	17.7152	66.0000	082.745	017.858
Low Viscosity	1	1	00:01:183	02.2551	17.7152	66.0000	082.745	017.858
Low Viscosity	1	1	00:01:190	02.2551	17.7152	66.0000	082.745	017.858
Low Viscosity	1	1	00:01:197	02.2742	17.9152	66.0000	082.765	018.059
Low Viscosity	1	1	00:01:204	02.2742	17.9152	66.0000	082.765	018.059
Low Viscosity	1	1	00:01:210	02.2742	17.9152	66.0000	082.765	018.059
Low Viscosity	1	1	00:01:218	02.2744	18.1152	66.0000	082.844	018.257
Low Viscosity	1	1	00:01:224	02.2744	18.1152	66.0000	082.844	018.257
Low Viscosity	1	1	00:01:231	02.2744	18.1152	66.0000	082.844	018.257
Low Viscosity	1	1	00:01:238	02.2547	18.3152	66.0000	082.982	018.453
Low Viscosity	1	1	00:01:245	02.2547	18.3152	66.0000	082.982	018.453
Low Viscosity	1	1	00:01:251	02.2547	18.3152	66.0000	082.982	018.453
Low Viscosity	1	1	00:01:261	02.1963	18.5152	66.0000	083.235	018.645
Low Viscosity	1	1	00:01:270	02.1963	18.5152	66.0000	083.235	018.645
Low Viscosity	1	1	00:01:279	02.0855	18.7152	66.0000	083.641	018.831
Low Viscosity	1	1	00:01:289	02.0855	18.7152	66.0000	083.641	018.831
Low Viscosity	1	1	00:01:298	01.8961	18.9152	66.0000	084.276	019.010
Low Viscosity	1	1	00:01:305	01.8961	18.9152	66.0000	084.276	019.010
Low Viscosity	1	1	00:01:313	01.8961	18.9152	66.0000	084.276	019.010
Low Viscosity	1	1	00:01:321	01.5773	19.1152	66.0000	085.283	019.180
Low Viscosity	1	1	00:01:329	01.5773	19.1152	66.0000	085.283	019.180
Low Viscosity	1	1	00:01:337	01.2020	19.3152	66.0000	086.439	019.353
Low Viscosity	1	1	00:01:346	01.2020	19.3152	66.0000	086.439	019.353
Low Viscosity	1	1	00:01:354	01.2020	19.3152	66.0000	086.439	019.353
Low Viscosity	1	1	00:01:365	00.6697	19.5152	66.0000	088.035	019.527
Low Viscosity	1	1	00:01:373	00.6697	19.5152	66.0000	088.035	019.527
Low Viscosity	1	1	00:01:382	00.0823	19.7152	66.0000	089.761	019.715
Low Viscosity	1	1	00:01:388	00.0823	19.7152	66.0000	089.761	019.715
Low Viscosity	1	1	00:01:396	-00.4859	19.9152	66.0000	091.398	019.921
Low Viscosity	1	1	00:01:402	-00.4859	19.9152	66.0000	091.398	019.921
Low Viscosity	1	1	00:01:409	-00.4859	19.9152	66.0000	091.398	019.921
Low Viscosity	1	1	00:01:416	-01.0000	20.1152	66.0000	092.846	020.140
Low Viscosity	1	1	00:01:423	-01.0000	20.1152	66.0000	092.846	020.140
Low Viscosity	1	1	00:01:429	-01.0000	20.1152	66.0000	092.846	020.140
Low Viscosity	1	1	00:01:437	-01.3352	20.3152	66.0000	093.760	020.359
Low Viscosity	1	1	00:01:443	-01.3352	20.3152	66.0000	093.760	020.359
Low Viscosity	1	1	00:01:449	-01.3352	20.3152	66.0000	093.760	020.359
Low Viscosity	1	1	00:01:456	-01.4135	20.5152	66.0000	093.942	020.564
Low Viscosity	1	1	00:01:462	-01.4135	20.5152	66.0000	093.942	020.564
Low Viscosity	1	1	00:01:469	-01.4135	20.5152	66.0000	093.942	020.564
Low Viscosity	1	1	00:01:476	-01.4339	20.7152	66.0000	093.960	020.765
Low Viscosity	1	1	00:01:483	-01.4339	20.7152	66.0000	093.960	020.765
Low Viscosity	1	1	00:01:489	-01.4339	20.7152	66.0000	093.960	020.765
Low Viscosity	1	1	00:01:501	-01.4563	20.9152	66.0000	093.983	020.966
Low Viscosity	1	1	00:01:507	-01.4563	20.9152	66.0000	093.983	020.966
Low Viscosity	1	1	00:01:513	-01.4563	20.9152	66.0000	093.983	020.966
Low Viscosity	1	1	00:01:521	-01.4792	21.1152	66.0000	094.007	021.167
Low Viscosity	1	1	00:01:528	-01.4792	21.1152	66.0000	094.007	021.167
Low Viscosity	1	1	00:01:535	-01.5010	21.3152	66.0000	094.028	021.368
Low Viscosity	1	1	00:01:542	-01.5010	21.3152	66.0000	094.028	021.368
Low Viscosity	1	1	00:01:548	-01.5010	21.3152	66.0000	094.028	021.368
Low Viscosity	1	1	00:01:557	-01.5203	21.5152	66.0000	094.042	021.569
Low Viscosity	1	1	00:01:565	-01.5203	21.5152	66.0000	094.042	021.569
Low Viscosity	1	1	00:01:574	-01.5203	21.5152	66.0000	094.042	021.569
Low Viscosity	1	1	00:01:583	-01.5361	21.7152	66.0000	094.046	021.769
Low Viscosity	1	1	00:01:589	-01.5361	21.7152	66.0000	094.046	021.769
Low Viscosity	1	1	00:01:597	-01.5498	21.9152	66.0000	094.045	021.970
Low Viscosity	1	1	00:01:603	-01.5498	21.9152	66.0000	094.045	021.970
Low Viscosity	1	1	00:01:609	-01.5498	21.9152	66.0000	094.045	021.970
Low Viscosity	1	1	00:01:617	-01.5608	22.1152	66.0000	094.037	022.170
Low Viscosity	1	1	00:01:623	-01.5608	22.1152	66.0000	094.037	022.170
Low Viscosity	1	1	00:01:630	-01.5608	22.1152	66.0000	094.037	022.170
Low Viscosity	1	1	00:01:639	-01.5689	22.3152	66.0000	094.022	022.370
Low Viscosity	1	1	00:01:648	-01.5689	22.3152	66.0000	094.022	022.370
Low Viscosity	1	1	00:01:657	-01.5746	22.5152	66.0000	094.000	022.570
Low Viscosity	1	1	00:01:666	-01.5746	22.5152	66.0000	094.000	022.570
Low Viscosity	1	1	00:01:674	-01.5746	22.5152	66.0000	094.000	022.570
Low Viscosity	1	1	00:01:683	-01.5779	22.7152	66.0000	093.974	022.770
Low Viscosity	1	1	00:01:690	-01.5779	22.7152	66.0000	093.974	022.770
Low Viscosity	1	1	00:01:699	-01.5808	22.9152	66.0000	093.946	022.970
Low Viscosity	1	1	00:01:706	-01.5808	22.9152	66.0000	093.946	022.970
Low Viscosity	1	1	00:01:714	-01.5808	22.9152	66.0000	093.946	022.970
Low Viscosity	1	1	00:01:722	-02.4823	-08.8469	66.0000	-105.673	009.189
Low Viscosity	1	1	00:01:730	-02.4823	-08.8469	66.0000	-105.673	009.189
Low Viscosity	1	1	00:01:739	-02.5236	-08.6595	66.0000	-106.248	009.020
Low Viscosity	1	1	00:01:746	-02.5236	-08.6595	66.0000	-106.248	009.020
Low Viscosity	1	1	00:01:752	-02.5236	-08.6595	66.0000	-106.248	009.020
Low Viscosity	1	1	00:01:760	-02.4864	-08.4021	66.0000	-106.485	008.762
Low Viscosity	1	1	00:01:766	-02.4864	-08.4021	66.0000	-106.485	008.762
Low Viscosity	1	1	00:01:773	-02.4864	-08.4021	66.0000	-106.485	008.762
Low Viscosity	1	1	00:01:781	-02.4765	-08.2628	66.0000	-106.684	008.626
Low Viscosity	1	1	00:01:787	-02.4765	-08.2628	66.0000	-106.684	008.626
Low Viscosity	1	1	00:01:794	-02.4462	-08.2173	66.0000	-106.578	008.574
Low Viscosity	1	1	00:01:801	-02.4462	-08.2173	66.0000	-106.578	008.574
Low Viscosity	1	1	00:01:809	-02.4462	-08.2173	66.0000	-106.578	008.574
Low Viscosity	1	1	00:01:819	-02.4143	-08.1962	66.0000	-106.413	008.544
Low Viscosity	1	1	00:01:826	-02.4143	-08.1962	66.0000	-106.413	008.544
Low Viscosity	1	1	00:01:833	-02.4143	-08.1962	66.0000	-106.413	008.544
Low Viscosity	1	1	00:01:841	-02.3124	-08.1975	66.0000	-105.753	008.517
Low Viscosity	1	1	00:01:848	-02.3124	-08.1975	66.0000	-105.753	008.517
Low Viscosity	1	1	00:01:855	-02.2632	-08.1975	66.0000	-105.434	008.504
Low Viscosity	1	1	00:01:861	-02.2632	-08.1975	66.0000	-105.434	008.504
Low Viscosity	1	1	00:01:868	-02.2632	-08.1975	66.0000	-105.434	008.504
Low Viscosity	1	1	00:01:875	-02.1415	-08.1492	66.0000	-104.724	008.426
Low Viscosity	1	1	00:01:881	-02.1415	-08.1492	66.0000	-104.724	008.426
Low Viscosity	1	1	00:01:888	-02.1415	-08.1492	66.0000	-104.724	008.426
Low Viscosity	1	1	00:01:896	-01.9697	-07.9818	66.0000	-103.862	008.221
Low Viscosity	1	1	00:01:904	-01.9697	-07.9818	66.0000	-103.862	008.221
Low Viscosity	1	1	00:01:911	-01.9697	-07.9818	66.0000	-103.862	008.221
Low Viscosity	1	1	00:01:921	-01.6754	-07.4798	66.0000	-102.626	007.665
