1st_ff f_2024-12-02_raw
 
ForceDisplay	Rep	Set	timer	X	Y	Z	A	M
Low Viscosity	1	1	00:00:913	02.0000	14.9152	66.0000	082.363	015.049
Low Viscosity	1	1	00:00:920	02.0000	14.9152	66.0000	082.363	015.049
Low Viscosity	1	1	00:00:927	02.0000	15.1152	66.0000	082.463	015.247
Low Viscosity	1	1	00:00:934	02.0000	15.1152	66.0000	082.463	015.247
Low Viscosity	1	1	00:00:941	02.0000	15.1152	66.0000	082.463	015.247
Low Viscosity	1	1	00:00:948	02.0000	15.3152	66.0000	082.560	015.445
Low Viscosity	1	1	00:00:955	02.0000	15.3152	66.0000	082.560	015.445
Low Viscosity	1	1	00:00:963	02.0000	15.3152	66.0000	082.560	015.445
Low Viscosity	1	1	00:00:970	02.0000	15.5152	66.0000	082.655	015.644
Low Viscosity	1	1	00:00:978	02.0000	15.5152	66.0000	082.655	015.644
Low Viscosity	1	1	00:00:988	02.0000	15.7152	66.0000	082.747	015.842
Low Viscosity	1	1	00:01:005	02.0000	15.7152	66.0000	082.747	015.842
Low Viscosity	1	1	00:01:012	02.0000	15.9152	66.0000	082.837	016.040
Low Viscosity	1	1	00:01:019	02.0000	15.9152	66.0000	082.837	016.040
Low Viscosity	1	1	00:01:030	02.0000	16.1152	66.0000	082.925	016.239
Low Viscosity	1	1	00:01:049	02.0000	16.1152	66.0000	082.925	016.239
Low Viscosity	1	1	00:01:072	02.0000	16.3152	66.0000	083.011	016.437
Low Viscosity	1	1	00:01:082	02.0000	16.5152	66.0000	083.095	016.636
Low Viscosity	1	1	00:01:089	02.0000	16.7152	66.0000	083.177	016.834
Low Viscosity	1	1	00:01:096	02.0000	16.7152	66.0000	083.177	016.834
Low Viscosity	1	1	00:01:104	02.0000	16.7152	66.0000	083.177	016.834
Low Viscosity	1	1	00:01:111	02.0000	16.9152	66.0000	083.257	017.033
Low Viscosity	1	1	00:01:128	02.0000	16.9152	66.0000	083.257	017.033
Low Viscosity	1	1	00:01:136	02.0000	17.1152	66.0000	083.335	017.232
Low Viscosity	1	1	00:01:143	02.0000	17.1152	66.0000	083.335	017.232
Low Viscosity	1	1	00:01:150	02.0000	17.3152	66.0000	083.411	017.430
Low Viscosity	1	1	00:01:157	02.0000	17.3152	66.0000	083.411	017.430
