1st_f g_2024-12-02_raw
 
ForceDisplay	Rep	Set	timer	X	Y	Z	A	M
Low Viscosity	1	1	00:01:317	02.7645	-09.3767	66.0000	-073.573	009.776
Low Viscosity	1	1	00:01:325	02.3629	09.2029	66.0000	075.600	009.501
Low Viscosity	1	1	00:01:332	02.3629	09.2029	66.0000	075.600	009.501
Low Viscosity	1	1	00:01:340	02.3630	09.1587	66.0000	075.533	009.459
Low Viscosity	1	1	00:01:347	02.3630	09.1587	66.0000	075.533	009.459
Low Viscosity	1	1	00:01:356	02.3630	09.1587	66.0000	075.533	009.459
Low Viscosity	1	1	00:01:366	02.3633	09.1357	66.0000	075.496	009.436
Low Viscosity	1	1	00:01:376	02.3633	09.1357	66.0000	075.496	009.436
Low Viscosity	1	1	00:01:385	02.3634	09.1348	66.0000	075.494	009.436
Low Viscosity	1	1	00:01:392	02.3634	09.1348	66.0000	075.494	009.436
Low Viscosity	1	1	00:01:400	02.3637	09.1552	66.0000	075.523	009.455
Low Viscosity	1	1	00:01:407	02.3637	09.1552	66.0000	075.523	009.455
Low Viscosity	1	1	00:01:414	02.3637	09.1552	66.0000	075.523	009.455
Low Viscosity	1	1	00:01:422	02.3640	09.2622	66.0000	075.682	009.559
Low Viscosity	1	1	00:01:430	02.3640	09.2622	66.0000	075.682	009.559
Low Viscosity	1	1	00:01:437	02.3640	09.2622	66.0000	075.682	009.559
Low Viscosity	1	1	00:01:445	02.3646	09.5859	66.0000	076.143	009.873
Low Viscosity	1	1	00:01:471	02.3646	09.5859	66.0000	076.143	009.873
Low Viscosity	1	1	00:01:478	02.3656	10.4498	66.0000	077.245	010.714
Low Viscosity	1	1	00:01:486	02.3661	10.6648	66.0000	077.491	010.924
Low Viscosity	1	1	00:01:494	02.3661	10.6648	66.0000	077.491	010.924
Low Viscosity	1	1	00:01:502	02.3668	11.1171	66.0000	077.981	011.366
Low Viscosity	1	1	00:01:509	02.3668	11.1171	66.0000	077.981	011.366
Low Viscosity	1	1	00:01:518	02.3668	11.1171	66.0000	077.981	011.366
Low Viscosity	1	1	00:01:527	02.3683	11.8056	66.0000	078.656	012.041
Low Viscosity	1	1	00:01:536	02.3683	11.8056	66.0000	078.656	012.041
Low Viscosity	1	1	00:01:548	02.3694	12.3225	66.0000	079.116	012.548
Low Viscosity	1	1	00:01:558	02.3694	12.3225	66.0000	079.116	012.548
Low Viscosity	1	1	00:01:569	02.3709	12.9050	66.0000	079.590	013.121
Low Viscosity	1	1	00:01:578	02.3709	12.9050	66.0000	079.590	013.121
Low Viscosity	1	1	00:01:588	02.3722	13.2730	66.0000	079.867	013.483
Low Viscosity	1	1	00:01:597	02.3722	13.2730	66.0000	079.867	013.483
Low Viscosity	1	1	00:01:624	02.3725	13.4030	66.0000	079.962	013.611
Low Viscosity	1	1	00:01:632	02.3727	13.2529	66.0000	079.850	013.464
Low Viscosity	1	1	00:01:640	02.3726	13.1450	66.0000	079.769	013.357
Low Viscosity	1	1	00:01:647	02.3726	13.1450	66.0000	079.769	013.357
Low Viscosity	1	1	00:01:654	02.3726	13.1450	66.0000	079.769	013.357
Low Viscosity	1	1	00:01:662	02.3934	12.6261	66.0000	079.266	012.851
Low Viscosity	1	1	00:01:672	02.3934	12.6261	66.0000	079.266	012.851
Low Viscosity	1	1	00:01:682	02.3923	12.0642	66.0000	078.784	012.299
Low Viscosity	1	1	00:01:689	02.3923	12.0642	66.0000	078.784	012.299
Low Viscosity	1	1	00:01:697	02.3923	12.0642	66.0000	078.784	012.299
Low Viscosity	1	1	00:01:706	02.3903	10.8541	66.0000	077.581	011.114
Low Viscosity	1	1	00:01:713	02.3903	10.8541	66.0000	077.581	011.114
Low Viscosity	1	1	00:01:721	02.3891	09.8794	66.0000	076.405	010.164
Low Viscosity	1	1	00:01:728	02.3891	09.8794	66.0000	076.405	010.164
Low Viscosity	1	1	00:01:735	02.3891	09.8794	66.0000	076.405	010.164
Low Viscosity	1	1	00:01:743	02.3883	08.2658	66.0000	073.884	008.604
Low Viscosity	1	1	00:01:758	02.3883	08.2658	66.0000	073.884	008.604
Low Viscosity	1	1	00:01:784	02.3883	06.5473	66.0000	069.959	006.969
Low Viscosity	1	1	00:01:792	02.3885	04.6768	66.0000	062.946	005.251
Low Viscosity	1	1	00:01:800	02.3885	04.6768	66.0000	062.946	005.251
Low Viscosity	1	1	00:01:807	02.3889	03.1297	66.0000	052.646	003.937
Low Viscosity	1	1	00:01:815	02.3889	03.1297	66.0000	052.646	003.937
Low Viscosity	1	1	00:01:823	02.3892	02.1566	66.0000	042.070	003.219
Low Viscosity	1	1	00:01:830	02.3892	02.1566	66.0000	042.070	003.219
Low Viscosity	1	1	00:01:837	02.3892	02.1566	66.0000	042.070	003.219
Low Viscosity	1	1	00:01:845	02.3899	00.8800	66.0000	020.215	002.547
Low Viscosity	1	1	00:01:852	02.3899	00.8800	66.0000	020.215	002.547
Low Viscosity	1	1	00:01:860	02.4116	00.1041	66.0000	002.472	002.414
Low Viscosity	1	1	00:01:867	02.4116	00.1041	66.0000	002.472	002.414
Low Viscosity	1	1	00:01:875	02.4116	00.1041	66.0000	002.472	002.414
Low Viscosity	1	1	00:01:885	02.4336	-00.9074	66.0000	-020.449	002.597
Low Viscosity	1	1	00:01:894	02.4336	-00.9074	66.0000	-020.449	002.597
Low Viscosity	1	1	00:01:906	02.4772	-01.4379	66.0000	-030.134	002.864
Low Viscosity	1	1	00:01:941	02.4772	-01.4379	66.0000	-030.134	002.864
Low Viscosity	1	1	00:01:951	02.8018	-01.3190	66.0000	-025.209	003.097
Low Viscosity	1	1	00:01:958	02.8018	-01.3190	66.0000	-025.209	003.097
Low Viscosity	1	1	00:01:968	02.8594	-01.5190	66.0000	-027.978	003.238
Low Viscosity	1	1	00:01:978	02.8594	-01.5190	66.0000	-027.978	003.238
Low Viscosity	1	1	00:01:988	03.1279	-00.4963	66.0000	-009.016	003.167
Low Viscosity	1	1	00:01:997	03.1279	-00.4963	66.0000	-009.016	003.167
Low Viscosity	1	1	00:02:006	03.3251	00.1385	66.0000	002.385	003.328
Low Viscosity	1	1	00:02:014	03.3251	00.1385	66.0000	002.385	003.328
Low Viscosity	1	1	00:02:023	03.5235	00.9531	66.0000	015.137	003.650
Low Viscosity	1	1	00:02:031	03.5235	00.9531	66.0000	015.137	003.650
Low Viscosity	1	1	00:02:038	03.5235	00.9531	66.0000	015.137	003.650
Low Viscosity	1	1	00:02:047	03.8132	02.3720	66.0000	031.884	004.491
